Blender 4.5.13 LTS (hash daeeeca98fb0 built 2026-08-25 01:31:19)
Read blend: "/home/naresh/Documents/nareshpane.github.io/research/gpt-6-astra-blender/blender/city_master.blend"
Fra:1 Mem:35.76M (Peak 35.76M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | City foundation
Fra:1 Mem:35.80M (Peak 35.80M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | BridgeRail_11-12
Fra:1 Mem:35.80M (Peak 35.80M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Road_12-20
Fra:1 Mem:35.81M (Peak 35.81M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Road_12-13
Fra:1 Mem:35.82M (Peak 35.82M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Road_13-14
Fra:1 Mem:35.82M (Peak 35.82M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Road_14-22
Fra:1 Mem:35.82M (Peak 35.82M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Road_14-15
Fra:1 Mem:35.83M (Peak 35.83M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Road_15-23
Fra:1 Mem:35.83M (Peak 35.83M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Road_16-17
Fra:1 Mem:35.83M (Peak 35.83M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Road_17-25
Fra:1 Mem:35.83M (Peak 35.83M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Road_17-18
Fra:1 Mem:35.83M (Peak 35.83M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Road_18-26
Fra:1 Mem:35.83M (Peak 35.83M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Road_18-19
Fra:1 Mem:35.83M (Peak 35.83M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Road_19-27
Fra:1 Mem:35.83M (Peak 35.83M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Road_20-28
Fra:1 Mem:35.84M (Peak 35.84M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Road_21-22
Fra:1 Mem:35.84M (Peak 35.84M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Road_22-30
Fra:1 Mem:35.84M (Peak 35.84M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Road_22-23
Fra:1 Mem:35.84M (Peak 35.84M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Road_23-31
Fra:1 Mem:35.84M (Peak 35.84M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Road_24-32
Fra:1 Mem:35.85M (Peak 35.85M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Road_24-25
Fra:1 Mem:35.85M (Peak 35.85M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Road_25-33
Fra:1 Mem:35.85M (Peak 35.85M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Road_25-26
Fra:1 Mem:35.85M (Peak 35.85M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Road_26-34
Fra:1 Mem:35.85M (Peak 35.85M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Road_26-27
Fra:1 Mem:35.85M (Peak 35.85M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Road_27-35
Fra:1 Mem:35.85M (Peak 35.85M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Road_28-36
Fra:1 Mem:35.85M (Peak 35.85M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Road_28-29
Fra:1 Mem:35.85M (Peak 35.85M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Road_29-30
Fra:1 Mem:35.86M (Peak 35.86M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Road_30-38
Fra:1 Mem:35.86M (Peak 35.86M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Road_30-31
Fra:1 Mem:35.86M (Peak 35.86M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Road_32-40
Fra:1 Mem:35.86M (Peak 35.86M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Road_33-41
Fra:1 Mem:35.86M (Peak 35.86M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Road_33-34
Fra:1 Mem:35.86M (Peak 35.86M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Road_34-42
Fra:1 Mem:35.87M (Peak 35.87M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Road_34-35
Fra:1 Mem:35.87M (Peak 35.87M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Road_35-43
Fra:1 Mem:35.87M (Peak 35.87M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Road_35-36
Fra:1 Mem:35.87M (Peak 35.87M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | BridgeRail_35-36
Fra:1 Mem:35.87M (Peak 35.87M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Road_36-37
Fra:1 Mem:35.88M (Peak 35.88M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Road_37-38
Fra:1 Mem:35.89M (Peak 35.89M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Road_38-46
Fra:1 Mem:35.89M (Peak 35.89M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Road_38-39
Fra:1 Mem:35.89M (Peak 35.89M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Road_40-41
Fra:1 Mem:35.89M (Peak 35.89M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Road_41-49
Fra:1 Mem:35.89M (Peak 35.89M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Road_41-42
Fra:1 Mem:35.89M (Peak 35.89M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Road_42-43
Fra:1 Mem:35.90M (Peak 35.90M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Road_43-51
Fra:1 Mem:35.90M (Peak 35.90M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Road_44-45
Fra:1 Mem:35.90M (Peak 35.90M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Road_45-53
Fra:1 Mem:35.90M (Peak 35.90M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Road_45-46
Fra:1 Mem:35.90M (Peak 35.90M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Road_46-47
Fra:1 Mem:35.91M (Peak 35.91M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Road_47-55
Fra:1 Mem:35.91M (Peak 35.91M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Road_48-49
Fra:1 Mem:35.91M (Peak 35.91M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Road_49-50
Fra:1 Mem:35.91M (Peak 35.91M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Road_50-51
Fra:1 Mem:35.91M (Peak 35.91M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Road_53-54
Fra:1 Mem:35.91M (Peak 35.91M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | All block sidewalks
Fra:1 Mem:35.92M (Peak 35.92M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | All lane dashes and crossings
Fra:1 Mem:35.94M (Peak 35.94M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B001 • Old Quay
Fra:1 Mem:35.94M (Peak 35.94M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B002 • Old Quay
Fra:1 Mem:35.94M (Peak 35.94M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B003 • Old Quay
Fra:1 Mem:36.13M (Peak 36.13M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B004 • Old Quay
Fra:1 Mem:36.47M (Peak 36.47M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B005 • Old Quay
Fra:1 Mem:36.62M (Peak 36.62M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B006 • Old Quay
Fra:1 Mem:36.65M (Peak 36.65M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B007 • Old Quay
Fra:1 Mem:37.12M (Peak 37.12M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B008 • Old Quay
Fra:1 Mem:37.15M (Peak 37.15M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B009 • Old Quay
Fra:1 Mem:37.25M (Peak 37.25M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B010 • Old Quay
Fra:1 Mem:37.30M (Peak 37.30M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B011 • Old Quay
Fra:1 Mem:37.46M (Peak 37.46M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B012 • Old Quay
Fra:1 Mem:37.48M (Peak 37.48M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B014 • Old Quay
Fra:1 Mem:37.49M (Peak 37.49M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B015 • Old Quay
Fra:1 Mem:37.57M (Peak 37.57M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B016 • Old Quay
Fra:1 Mem:37.65M (Peak 37.65M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B017 • Old Quay
Fra:1 Mem:37.67M (Peak 37.67M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B018 • Old Quay
Fra:1 Mem:37.67M (Peak 37.67M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B019 • Civic Terrace
Fra:1 Mem:37.70M (Peak 37.70M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B020 • Civic Terrace
Fra:1 Mem:37.80M (Peak 37.80M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B021 • Civic Terrace
Fra:1 Mem:37.88M (Peak 37.88M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B022 • Civic Terrace
Fra:1 Mem:38.02M (Peak 38.02M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B023 • Civic Terrace
Fra:1 Mem:38.12M (Peak 38.12M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B024 • Civic Terrace
Fra:1 Mem:38.29M (Peak 38.29M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B025 • Civic Terrace
Fra:1 Mem:38.29M (Peak 38.29M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B026 • Civic Terrace
Fra:1 Mem:38.50M (Peak 38.50M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B027 • Civic Terrace
Fra:1 Mem:38.64M (Peak 38.64M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B028 • Civic Terrace
Fra:1 Mem:38.72M (Peak 38.72M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B029 • Civic Terrace
Fra:1 Mem:38.85M (Peak 38.85M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B030 • Civic Terrace
Fra:1 Mem:38.90M (Peak 38.90M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B031 • Civic Terrace
Fra:1 Mem:38.90M (Peak 38.90M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Afternoon sun
Fra:1 Mem:38.93M (Peak 38.93M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Sky fill
Fra:1 Mem:38.93M (Peak 38.93M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Warm softbox
Fra:1 Mem:38.95M (Peak 38.95M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Studio floor • excluded from GLB
Fra:1 Mem:38.96M (Peak 38.96M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Four station shelters • batched
Fra:1 Mem:38.96M (Peak 38.96M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B032 • Civic Terrace
Fra:1 Mem:39.14M (Peak 39.14M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Existing transit • corridor offset 2 m for visibility
Fra:1 Mem:39.20M (Peak 39.20M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Lamp_0
Fra:1 Mem:39.21M (Peak 39.21M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B033 • Civic Terrace
Fra:1 Mem:39.23M (Peak 39.23M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Tree_00_00
Fra:1 Mem:39.23M (Peak 39.23M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B035 • Civic Terrace
Fra:1 Mem:39.30M (Peak 39.30M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B204 • Innovation District
Fra:1 Mem:39.44M (Peak 39.44M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B036 • Civic Terrace
Fra:1 Mem:39.54M (Peak 39.54M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B037 • Old Quay
Fra:1 Mem:39.56M (Peak 39.56M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B203 • Innovation District
Fra:1 Mem:39.57M (Peak 39.57M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B038 • Old Quay
Fra:1 Mem:39.69M (Peak 39.69M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B039 • Old Quay
Fra:1 Mem:39.77M (Peak 39.77M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B040 • Old Quay
Fra:1 Mem:39.79M (Peak 39.79M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B041 • Old Quay
Fra:1 Mem:39.85M (Peak 39.85M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B042 • Old Quay
Fra:1 Mem:39.84M (Peak 39.85M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B202 • Innovation District
Fra:1 Mem:39.90M (Peak 39.91M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B043 • Old Quay
Fra:1 Mem:40.00M (Peak 40.00M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B044 • Old Quay
Fra:1 Mem:40.01M (Peak 40.01M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B045 • Old Quay
Fra:1 Mem:40.13M (Peak 40.13M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B046 • Old Quay
Fra:1 Mem:40.16M (Peak 40.16M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B047 • Old Quay
Fra:1 Mem:40.22M (Peak 40.22M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B048 • Old Quay
Fra:1 Mem:40.24M (Peak 40.24M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B049 • Old Quay
Fra:1 Mem:40.27M (Peak 40.27M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B050 • Old Quay
Fra:1 Mem:40.31M (Peak 40.31M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B051 • Old Quay
Fra:1 Mem:40.37M (Peak 40.37M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B052 • Old Quay
Fra:1 Mem:40.40M (Peak 40.40M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B053 • Old Quay
Fra:1 Mem:40.45M (Peak 40.45M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B054 • Old Quay
Fra:1 Mem:40.45M (Peak 40.45M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B055 • Civic Terrace
Fra:1 Mem:40.60M (Peak 40.60M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B056 • Civic Terrace
Fra:1 Mem:40.60M (Peak 40.60M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B057 • Civic Terrace
Fra:1 Mem:40.62M (Peak 40.62M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B200 • Innovation District
Fra:1 Mem:40.82M (Peak 40.82M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B058 • Civic Terrace
Fra:1 Mem:40.98M (Peak 40.98M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B059 • Civic Terrace
Fra:1 Mem:41.11M (Peak 41.11M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B060 • Civic Terrace
Fra:1 Mem:41.20M (Peak 41.20M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B061 • Civic Terrace
Fra:1 Mem:41.32M (Peak 41.32M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B062 • Civic Terrace
Fra:1 Mem:41.43M (Peak 41.43M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B063 • Civic Terrace
Fra:1 Mem:41.42M (Peak 41.43M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B064 • Civic Terrace
Fra:1 Mem:41.50M (Peak 41.50M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B065 • Civic Terrace
Fra:1 Mem:41.65M (Peak 41.65M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B066 • Civic Terrace
Fra:1 Mem:41.64M (Peak 41.65M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B069 • Old Quay
Fra:1 Mem:41.88M (Peak 41.88M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B070 • Old Quay
Fra:1 Mem:41.94M (Peak 41.94M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B071 • Old Quay
Fra:1 Mem:42.00M (Peak 42.00M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B072 • Old Quay
Fra:1 Mem:42.03M (Peak 42.03M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B073 • Old Quay
Fra:1 Mem:42.04M (Peak 42.04M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B074 • Old Quay
Fra:1 Mem:42.07M (Peak 42.07M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B075 • Old Quay
Fra:1 Mem:42.15M (Peak 42.15M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B076 • Old Quay
Fra:1 Mem:42.19M (Peak 42.19M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B078 • Old Quay
Fra:1 Mem:42.28M (Peak 42.28M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B079 • Old Quay
Fra:1 Mem:42.27M (Peak 42.28M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B080 • Old Quay
Fra:1 Mem:42.34M (Peak 42.34M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B081 • Old Quay
Fra:1 Mem:42.40M (Peak 42.40M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | B082 • Old Quay
